asset_id,site_id,building_id,asset_name,asset_type,manufacturer,installation_date,capacity,parent_asset_id
CBE-B3-AHU-03,CBE,CBE-B3,AHU-03,AHU,Voltas,2023-10-29,119.5,CBE-B3-CHL-02
CBE-B3-EVS-03,CBE,CBE-B3,EnvSensor-03,EnvSensor,Siemens,2023-04-17,,CBE-B3-AHU-03
CBE-B3-AHU-04,CBE,CBE-B3,AHU-04,AHU,Daikin,2020-09-28,56.8,CBE-B3-CHL-02
CBE-B3-EVS-04,CBE,CBE-B3,EnvSensor-04,EnvSensor,Johnson Controls,2021-02-26,,CBE-B3-AHU-04
CBE-B3-PMP-01,CBE,CBE-B3,Pump-01,Pump,Wilo,2021-08-23,38.1,
CBE-B3-MTR-SUB-01,CBE,CBE-B3,EnergyMeter-SUB-01,EnergyMeter,Siemens,2021-10-15,,CBE-B3-PMP-01
CBE-B3-PMP-02,CBE,CBE-B3,Pump-02,Pump,KSB,2023-11-05,27.1,
CBE-B3-MTR-SUB-02,CBE,CBE-B3,EnergyMeter-SUB-02,EnergyMeter,L&T,2017-09-08,,CBE-B3-PMP-02
CBE-B3-MTR-MAIN-01,CBE,CBE-B3,EnergyMeter-MAIN-01,EnergyMeter,Siemens,2019-04-03,,
CHN-B1-CHL-01,CHN,CHN-B1,Chiller-01,Chiller,Trane,2017-03-26,444.7,
CHN-B1-AHU-01,CHN,CHN-B1,AHU-01,AHU,Voltas,2021-02-17,69.9,CHN-B1-CHL-01
CHN-B1-EVS-01,CHN,CHN-B1,EnvSensor-01,EnvSensor,Siemens,2023-10-12,,CHN-B1-AHU-01
CHN-B1-AHU-02,CHN,CHN-B1,AHU-02,AHU,Blue Star,2021-01-30,62.3,CHN-B1-CHL-01
CHN-B1-EVS-02,CHN,CHN-B1,EnvSensor-02,EnvSensor,Johnson Controls,2022-03-17,,CHN-B1-AHU-02
CHN-B1-CHL-02,CHN,CHN-B1,Chiller-02,Chiller,York,2023-03-06,464.2,
CHN-B1-AHU-03,CHN,CHN-B1,AHU-03,AHU,Blue Star,2019-02-08,87.5,CHN-B1-CHL-02
CHN-B1-EVS-03,CHN,CHN-B1,EnvSensor-03,EnvSensor,Honeywell,2019-10-18,,CHN-B1-AHU-03
CHN-B1-AHU-04,CHN,CHN-B1,AHU-04,AHU,Voltas,2019-08-18,49.3,CHN-B1-CHL-02
CHN-B1-EVS-04,CHN,CHN-B1,EnvSensor-04,EnvSensor,Johnson Controls,2021-05-20,,CHN-B1-AHU-04
CHN-B1-PMP-01,CHN,CHN-B1,Pump-01,Pump,Grundfos,2020-10-18,39.8,
CHN-B1-MTR-SUB-01,CHN,CHN-B1,EnergyMeter-SUB-01,EnergyMeter,L&T,2023-06-02,,CHN-B1-PMP-01
CHN-B1-PMP-02,CHN,CHN-B1,Pump-02,Pump,Grundfos,2020-02-04,30.2,
CHN-B1-MTR-SUB-02,CHN,CHN-B1,EnergyMeter-SUB-02,EnergyMeter,L&T,2017-07-25,,CHN-B1-PMP-02
CHN-B1-MTR-MAIN-01,CHN,CHN-B1,EnergyMeter-MAIN-01,EnergyMeter,Siemens,2021-11-25,,
CHN-B2-CHL-01,CHN,CHN-B2,Chiller-01,Chiller,Carrier,2020-01-26,255.7,CHN-B2-GHOST-001
CHN-B2-AHU-01,CHN,CHN-B2,AHU-01,AHU,Trane,2020-11-19,126.1,CHN-B2-CHL-01
CHN-B2-EVS-01,CHN,CHN-B2,EnvSensor-01,EnvSensor,Honeywell,2020-11-07,,CHN-B2-AHU-01
CHN-B2-AHU-02,CHN,CHN-B2,AHU-02,AHU,Trane,2020-10-27,143.2,CHN-B2-CHL-01
CHN-B2-EVS-02,CHN,CHN-B2,EnvSensor-02,EnvSensor,Siemens,2020-12-13,,CHN-B2-AHU-02
CHN-B2-AHU-03,CHN,CHN-B2,AHU-03,AHU,Voltas,2022-07-02,76.5,CHN-B2-CHL-01
CHN-B2-EVS-03,CHN,CHN-B2,EnvSensor-03,EnvSensor,Siemens,2021-03-18,,CHN-B2-AHU-03
CHN-B2-CHL-02,CHN,CHN-B2,Chiller-02,Chiller,Carrier,2024-05-04,456.6,
CHN-B2-AHU-04,CHN,CHN-B2,AHU-04,AHU,Daikin,2023-06-14,100.9,CHN-B2-CHL-02
CHN-B2-EVS-04,CHN,CHN-B2,EnvSensor-04,EnvSensor,Honeywell,2019-06-17,,CHN-B2-AHU-04
CHN-B2-AHU-05,CHN,CHN-B2,AHU-05,AHU,Voltas,2022-05-23,112.5,CHN-B2-CHL-02
CHN-B2-EVS-05,CHN,CHN-B2,EnvSensor-05,EnvSensor,Johnson Controls,2018-09-26,,CHN-B2-AHU-05
CHN-B2-AHU-06,CHN,CHN-B2,AHU-06,AHU,Blue Star,2023-09-11,140.8,CHN-B2-CHL-02
CHN-B2-EVS-06,CHN,CHN-B2,EnvSensor-06,EnvSensor,Honeywell,2024-03-21,,CHN-B2-AHU-06
CHN-B2-PMP-01,CHN,CHN-B2,Pump-01,Pump,Grundfos,2020-05-04,42.3,
CHN-B2-MTR-SUB-01,CHN,CHN-B2,EnergyMeter-SUB-01,EnergyMeter,L&T,2018-06-10,,CHN-B2-PMP-01
CHN-B2-PMP-02,CHN,CHN-B2,Pump-02,Pump,KSB,2022-02-14,77.2,
CHN-B2-MTR-SUB-02,CHN,CHN-B2,EnergyMeter-SUB-02,EnergyMeter,Schneider Electric,2020-08-21,,CHN-B2-PMP-02
CHN-B2-MTR-MAIN-01,CHN,CHN-B2,EnergyMeter-MAIN-01,EnergyMeter,L&T,2022-08-01,,CHN-B2-MTR-GHOST-002
CHN-B3-CHL-01,CHN,CHN-B3,Chiller-01,Chiller,Daikin,2023-04-08,261.2,
CHN-B3-AHU-01,CHN,CHN-B3,AHU-01,AHU,Daikin,2017-01-21,138.1,CHN-B3-CHL-01
CHN-B3-EVS-01,CHN,CHN-B3,EnvSensor-01,EnvSensor,Johnson Controls,2018-11-20,,CHN-B3-AHU-01
CHN-B3-AHU-02,CHN,CHN-B3,AHU-02,AHU,Blue Star,2017-10-19,97.1,CHN-B3-CHL-01
CHN-B3-EVS-02,CHN,CHN-B3,EnvSensor-02,EnvSensor,Honeywell,2022-02-17,,CHN-B3-AHU-02
CHN-B3-CHL-02,CHN,CHN-B3,Chiller-02,Chiller,Daikin,2019-07-16,343.4,
CHN-B3-AHU-03,CHN,CHN-B3,AHU-03,AHU,Trane,2018-11-25,68.9,CHN-B3-CHL-02
CHN-B3-EVS-03,CHN,CHN-B3,EnvSensor-03,EnvSensor,Johnson Controls,2017-06-23,,CHN-B3-AHU-03
CHN-B3-AHU-04,CHN,CHN-B3,AHU-04,AHU,Trane,2023-08-01,131.4,CHN-B3-CHL-02
CHN-B3-EVS-04,CHN,CHN-B3,EnvSensor-04,EnvSensor,Johnson Controls,2023-05-09,,CHN-B3-AHU-04
CHN-B3-AHU-05,CHN,CHN-B3,AHU-05,AHU,Trane,2020-01-03,136.2,CHN-B3-CHL-02
CHN-B3-EVS-05,CHN,CHN-B3,EnvSensor-05,EnvSensor,Honeywell,2023-01-11,,CHN-B3-AHU-05
CHN-B3-PMP-01,CHN,CHN-B3,Pump-01,Pump,Grundfos,2018-09-02,78.3,
CHN-B3-MTR-SUB-01,CHN,CHN-B3,EnergyMeter-SUB-01,EnergyMeter,Siemens,2020-09-29,,CHN-B3-PMP-01
CHN-B3-PMP-02,CHN,CHN-B3,Pump-02,Pump,Grundfos,2024-05-25,33.8,
CHN-B3-MTR-SUB-02,CHN,CHN-B3,EnergyMeter-SUB-02,EnergyMeter,Schneider Electric,2023-07-07,,CHN-B3-PMP-02
CHN-B3-MTR-MAIN-01,CHN,CHN-B3,EnergyMeter-MAIN-01,EnergyMeter,L&T,2023-08-03,,
BLR-B1-CHL-01,BLR,BLR-B1,Chiller-01,Chiller,Daikin,2020-09-14,423.6,
BLR-B1-AHU-01,BLR,BLR-B1,AHU-01,AHU,Trane,2023-01-02,128.5,BLR-B1-CHL-01
BLR-B1-EVS-01,BLR,BLR-B1,EnvSensor-01,EnvSensor,Johnson Controls,2018-12-17,,BLR-B1-AHU-01
BLR-B1-AHU-02,BLR,BLR-B1,AHU-02,AHU,Voltas,2023-07-09,53.6,BLR-B1-CHL-01
BLR-B1-EVS-02,BLR,BLR-B1,EnvSensor-02,EnvSensor,Johnson Controls,2021-07-09,,BLR-B1-AHU-02
BLR-B1-AHU-03,BLR,BLR-B1,AHU-03,AHU,Voltas,2022-03-30,93.7,BLR-B1-CHL-01
BLR-B1-EVS-03,BLR,BLR-B1,EnvSensor-03,EnvSensor,Siemens,2017-05-02,,BLR-B1-AHU-03
BLR-B1-CHL-02,BLR,BLR-B1,Chiller-02,Chiller,Trane,2022-05-09,481.2,
BLR-B1-AHU-04,BLR,BLR-B1,AHU-04,AHU,Blue Star,2020-05-03,109.7,BLR-B1-CHL-02
BLR-B1-EVS-04,BLR,BLR-B1,EnvSensor-04,EnvSensor,Honeywell,2023-06-13,,BLR-B1-AHU-04
BLR-B1-AHU-05,BLR,BLR-B1,AHU-05,AHU,Trane,2021-05-11,146.3,BLR-B1-CHL-02
BLR-B1-EVS-05,BLR,BLR-B1,EnvSensor-05,EnvSensor,Siemens,2017-07-03,,BLR-B1-AHU-05
BLR-B1-PMP-01,BLR,BLR-B1,Pump-01,Pump,KSB,2018-06-20,48.0,
BLR-B1-MTR-SUB-01,BLR,BLR-B1,EnergyMeter-SUB-01,EnergyMeter,L&T,2024-05-14,,BLR-B1-PMP-01
BLR-B1-PMP-02,BLR,BLR-B1,Pump-02,Pump,Grundfos,2023-09-07,69.8,
BLR-B1-MTR-SUB-02,BLR,BLR-B1,EnergyMeter-SUB-02,EnergyMeter,L&T,2022-10-04,,BLR-B1-PMP-02
BLR-B1-MTR-MAIN-01,BLR,BLR-B1,EnergyMeter-MAIN-01,EnergyMeter,L&T,2020-07-09,,
BLR-B2-CHL-01,BLR,BLR-B2,Chiller-01,Chiller,York,2017-12-29,400.8,
BLR-B2-AHU-01,BLR,BLR-B2,AHU-01,AHU,Daikin,2021-09-11,86.8,BLR-B2-CHL-01
BLR-B2-EVS-01,BLR,BLR-B2,EnvSensor-01,EnvSensor,Johnson Controls,2019-08-12,,BLR-B2-AHU-01
BLR-B2-AHU-02,BLR,BLR-B2,AHU-02,AHU,Blue Star,2021-02-04,67.3,BLR-B2-CHL-01
BLR-B2-EVS-02,BLR,BLR-B2,EnvSensor-02,EnvSensor,Johnson Controls,2022-09-23,,BLR-B2-AHU-02
BLR-B2-CHL-02,BLR,BLR-B2,Chiller-02,Chiller,York,2018-05-18,276.3,
BLR-B2-AHU-03,BLR,BLR-B2,AHU-03,AHU,Trane,2020-01-16,56.1,BLR-B2-CHL-02
BLR-B2-EVS-03,BLR,BLR-B2,EnvSensor-03,EnvSensor,Honeywell,2018-04-26,,BLR-B2-AHU-03
BLR-B2-AHU-04,BLR,BLR-B2,AHU-04,AHU,Daikin,2023-06-04,141.3,BLR-B2-CHL-02
BLR-B2-EVS-04,BLR,BLR-B2,EnvSensor-04,EnvSensor,Honeywell,2023-04-05,,BLR-B2-AHU-04
BLR-B2-AHU-05,BLR,BLR-B2,AHU-05,AHU,Daikin,2023-05-08,52.7,BLR-B2-CHL-02
BLR-B2-EVS-05,BLR,BLR-B2,EnvSensor-05,EnvSensor,Johnson Controls,2024-05-05,,BLR-B2-AHU-05
BLR-B2-PMP-01,BLR,BLR-B2,Pump-01,Pump,Grundfos,2023-03-11,23.2,
BLR-B2-MTR-SUB-01,BLR,BLR-B2,EnergyMeter-SUB-01,EnergyMeter,Siemens,2020-01-26,,BLR-B2-PMP-01
BLR-B2-PMP-02,BLR,BLR-B2,Pump-02,Pump,Wilo,2021-07-20,39.1,
BLR-B2-MTR-SUB-02,BLR,BLR-B2,EnergyMeter-SUB-02,EnergyMeter,L&T,2020-09-19,,BLR-B2-PMP-02
BLR-B2-MTR-MAIN-01,BLR,BLR-B2,EnergyMeter-MAIN-01,EnergyMeter,L&T,2018-02-12,,
BLR-B3-CHL-01,BLR,BLR-B3,Chiller-01,Chiller,Daikin,2024-03-05,295.4,
BLR-B3-AHU-01,BLR,BLR-B3,AHU-01,AHU,Blue Star,2022-08-19,102.8,BLR-B3-CHL-01
BLR-B3-EVS-01,BLR,BLR-B3,EnvSensor-01,EnvSensor,Siemens,2024-02-18,,BLR-B3-AHU-01
BLR-B3-AHU-02,BLR,BLR-B3,AHU-02,AHU,Blue Star,2021-09-12,97.6,BLR-B3-CHL-01
BLR-B3-EVS-02,BLR,BLR-B3,EnvSensor-02,EnvSensor,Honeywell,2018-04-02,,BLR-B3-AHU-02
BLR-B3-CHL-02,BLR,BLR-B3,Chiller-02,Chiller,York,2024-02-11,481.2,
BLR-B3-AHU-03,BLR,BLR-B3,AHU-03,AHU,Trane,2018-03-05,139.3,BLR-B3-CHL-02
BLR-B3-EVS-03,BLR,BLR-B3,EnvSensor-03,EnvSensor,Johnson Controls,2018-06-27,,BLR-B3-AHU-03
BLR-B3-AHU-04,BLR,BLR-B3,AHU-04,AHU,Voltas,2018-08-28,110.7,BLR-B3-CHL-02
BLR-B3-EVS-04,BLR,BLR-B3,EnvSensor-04,EnvSensor,Johnson Controls,2023-06-29,,BLR-B3-AHU-04
BLR-B3-PMP-01,BLR,BLR-B3,Pump-01,Pump,Wilo,2020-06-24,50.9,
BLR-B3-MTR-SUB-01,BLR,BLR-B3,EnergyMeter-SUB-01,EnergyMeter,L&T,2021-01-11,,BLR-B3-PMP-01
BLR-B3-PMP-02,BLR,BLR-B3,Pump-02,Pump,Grundfos,2021-08-12,58.4,
BLR-B3-MTR-SUB-02,BLR,BLR-B3,EnergyMeter-SUB-02,EnergyMeter,Schneider Electric,2023-06-15,,BLR-B3-PMP-02
BLR-B3-MTR-MAIN-01,BLR,BLR-B3,EnergyMeter-MAIN-01,EnergyMeter,Schneider Electric,2020-12-01,,
CHN-ISO-001,CHN,CHN-B2,Legacy-EnergyMeter-01,EnergyMeter,Siemens,2023-03-16,,
CBE-ISO-002,CBE,CBE-B3,Legacy-EnvSensor-02,EnvSensor,Siemens,2017-02-24,,
