source_asset_id,target_asset_id,connection_type,relationship_strength
CHN-B2-CHL-02,CHN-B2-AHU-05,Supplies,0.73
CHN-B2-AHU-05,CHN-B2-EVS-05,Controls,0.96
CHN-B2-CHL-02,CHN-B2-AHU-06,Supplies,0.87
CHN-B2-AHU-06,CHN-B2-EVS-06,Controls,0.69
CHN-B2-PMP-01,CHN-B2-MTR-SUB-01,Monitors,0.63
CHN-B2-PMP-02,CHN-B2-MTR-SUB-02,Monitors,0.99
CHN-B2-MTR-MAIN-01,CHN-B2-CHL-01,Monitors,0.83
CHN-B2-MTR-MAIN-01,CHN-B2-CHL-02,Monitors,0.97
CHN-B2-MTR-MAIN-01,CHN-B2-PMP-01,Monitors,0.47
CHN-B2-MTR-MAIN-01,CHN-B2-PMP-02,Monitors,0.91
CHN-B3-CHL-01,CHN-B3-AHU-01,Supplies,0.78
CHN-B3-AHU-01,CHN-B3-EVS-01,Controls,0.47
CHN-B3-CHL-01,CHN-B3-AHU-02,Supplies,0.75
CHN-B3-AHU-02,CHN-B3-EVS-02,Controls,0.81
CHN-B3-CHL-02,CHN-B3-AHU-03,Supplies,0.41
CHN-B3-AHU-03,CHN-B3-EVS-03,Controls,0.67
CHN-B3-CHL-02,CHN-B3-AHU-04,Supplies,0.9
CHN-B3-AHU-04,CHN-B3-EVS-04,Controls,0.58
CHN-B3-AHU-05,CHN-B3-EVS-05,Controls,0.67
CHN-B3-PMP-01,CHN-B3-MTR-SUB-01,Monitors,0.58
CHN-B3-PMP-02,CHN-B3-MTR-SUB-02,Monitors,0.95
CHN-B3-MTR-MAIN-01,CHN-B3-CHL-01,Monitors,0.87
CHN-B3-MTR-MAIN-01,CHN-B3-CHL-02,Monitors,0.47
CHN-B3-MTR-MAIN-01,CHN-B3-PMP-01,Monitors,1.0
CHN-B3-MTR-MAIN-01,CHN-B3-PMP-02,Monitors,0.93
BLR-B1-CHL-01,BLR-B1-AHU-01,Supplies,0.57
BLR-B1-AHU-01,BLR-B1-EVS-01,Controls,0.9
BLR-B1-CHL-01,BLR-B1-AHU-02,Supplies,0.46
BLR-B1-AHU-02,BLR-B1-EVS-02,Controls,1.0
BLR-B1-CHL-01,BLR-B1-AHU-03,Supplies,0.8
BLR-B1-AHU-03,BLR-B1-EVS-03,Controls,0.79
BLR-B1-CHL-02,BLR-B1-AHU-04,Supplies,0.45
BLR-B1-AHU-04,BLR-B1-EVS-04,Controls,0.94
BLR-B1-CHL-02,BLR-B1-AHU-05,Supplies,0.42
BLR-B1-AHU-05,BLR-B1-EVS-05,Controls,0.54
BLR-B1-PMP-01,BLR-B1-MTR-SUB-01,Monitors,0.49
BLR-B1-PMP-02,BLR-B1-MTR-SUB-02,Monitors,0.87
BLR-B1-MTR-MAIN-01,BLR-B1-CHL-01,Monitors,0.52
BLR-B1-MTR-MAIN-01,BLR-B1-CHL-02,Monitors,0.95
BLR-B1-MTR-MAIN-01,BLR-B1-PMP-01,Monitors,0.79
BLR-B1-MTR-MAIN-01,BLR-B1-PMP-02,Monitors,0.42
BLR-B2-CHL-01,BLR-B2-AHU-01,Supplies,0.4
BLR-B2-AHU-01,BLR-B2-EVS-01,Controls,0.43
BLR-B2-CHL-01,BLR-B2-AHU-02,Supplies,0.76
BLR-B2-AHU-02,BLR-B2-EVS-02,Controls,0.88
BLR-B2-CHL-02,BLR-B2-AHU-03,Supplies,0.54
BLR-B2-AHU-03,BLR-B2-EVS-03,Controls,0.91
BLR-B2-CHL-02,BLR-B2-AHU-04,Supplies,0.43
BLR-B2-AHU-04,BLR-B2-EVS-04,Controls,0.88
BLR-B2-CHL-02,BLR-B2-AHU-05,Supplies,0.96
BLR-B2-PMP-01,BLR-B2-MTR-SUB-01,Monitors,0.82
BLR-B2-PMP-02,BLR-B2-MTR-SUB-02,Monitors,0.9
BLR-B2-MTR-MAIN-01,BLR-B2-CHL-01,Monitors,0.42
BLR-B2-MTR-MAIN-01,BLR-B2-CHL-02,Monitors,0.52
BLR-B2-MTR-MAIN-01,BLR-B2-PMP-01,Monitors,0.47
BLR-B2-MTR-MAIN-01,BLR-B2-PMP-02,Monitors,0.7
BLR-B3-CHL-01,BLR-B3-AHU-01,Supplies,0.85
BLR-B3-AHU-01,BLR-B3-EVS-01,Controls,0.78
BLR-B3-CHL-01,BLR-B3-AHU-02,Supplies,0.91
BLR-B3-AHU-02,BLR-B3-EVS-02,Controls,0.49
BLR-B3-CHL-02,BLR-B3-AHU-03,Supplies,0.84
BLR-B3-AHU-03,BLR-B3-EVS-03,Controls,0.52
BLR-B3-CHL-02,BLR-B3-AHU-04,Supplies,0.56
BLR-B3-AHU-04,BLR-B3-EVS-04,Controls,0.83
BLR-B3-PMP-01,BLR-B3-MTR-SUB-01,Monitors,0.99
BLR-B3-PMP-02,BLR-B3-MTR-SUB-02,Monitors,0.77
BLR-B3-MTR-MAIN-01,BLR-B3-CHL-01,Monitors,0.43
BLR-B3-MTR-MAIN-01,BLR-B3-CHL-02,Monitors,0.77
BLR-B3-MTR-MAIN-01,BLR-B3-PMP-01,Monitors,0.43
BLR-B3-MTR-MAIN-01,BLR-B3-PMP-02,Monitors,0.93
CHN-B1-AHU-04,CHN-B1-EVS-04,Controls,0.65
